Date;Z
01.01.2010;4
01.02.2010;3.83
01.03.2010;3.54
01.04.2010;3.28
01.05.2010;2.75
01.06.2010;2.55
01.07.2010;2.62
01.08.2010;2.58
01.09.2010;2.63
01.10.2010;2.69
01.11.2010;3.04
01.12.2010;2.89
01.01.2011;2.71
01.02.2011;2.81
01.03.2011;3.08
01.04.2011;3.22
01.05.2011;3.73
01.06.2011;3.71
01.07.2011;3.85
01.08.2011;3.94
01.09.2011;4.43
01.10.2011;4.93
01.11.2011;5.05
01.12.2011;5.41
01.01.2012;4.84
01.02.2012;4.41
01.03.2012;5.12
01.04.2012;5.34
01.05.2012;5.8
01.06.2012;5.77
01.07.2012;5.61
01.08.2012;5.33
01.09.2012;5.53
01.10.2012;6.1
01.11.2012;6.12
01.12.2012;6.17
01.01.2013;5.42
01.02.2013;5.66
01.03.2013;6.03
01.04.2013;6.22
01.05.2013;6.37
01.06.2013;6.3
01.07.2013;6.08
01.08.2013;6.11
01.09.2013;6.25
01.10.2013;6.06
01.11.2013;6.2
01.12.2013;6.4
01.01.2014;6.06
01.02.2014;5.99
01.03.2014;7.85
01.04.2014;7.87
01.05.2014;8.21
01.06.2014;8.23
01.07.2014;8.17
01.08.2014;7.88
01.09.2014;7.95
01.10.2014;8.24
01.11.2014;10.21
01.12.2014;15.47
01.01.2015;16.96
01.02.2015;15.12
01.03.2015;14.9
01.04.2015;14.36
01.05.2015;12.83
01.06.2015;12.5
01.07.2015;11.52
01.08.2015;10.86
01.09.2015;11.15
01.10.2015;11.14
01.11.2015;11.43
01.12.2015;11.07
01.01.2016;11.02
01.02.2016;10.84
01.03.2016;10.94
01.04.2016;10.73
01.05.2016;11.06
01.06.2016;10.64
01.07.2016;10.38
01.08.2016;10.34
01.09.2016;10.24
01.10.2016;10.32
01.11.2016;10.02
01.12.2016;10.16
01.01.2017;10.11
01.02.2017;10.14
01.03.2017;9.9
01.04.2017;9.58
01.05.2017;9.13
01.06.2017;9.11
01.07.2017;8.95
01.08.2017;8.54
01.09.2017;8.37
01.10.2017;8.04
01.11.2017;8.01
01.12.2017;7.73
01.01.2018;7.09
01.02.2018;7.15
01.03.2018;7.15
01.04.2018;7
01.05.2018;6.95
01.06.2018;7.02
01.07.2018;7.09
01.08.2018;7.03
01.09.2018;7.15
01.10.2018;7.27
01.11.2018;7.25
01.12.2018;7.49
01.01.2019;7.65
01.02.2019;7.59
01.03.2019;7.68
01.04.2019;7.75
01.05.2019;7.72
01.06.2019;7.58
01.07.2019;7.32
01.08.2019;7.13
01.09.2019;6.86
01.10.2019;6.79
01.11.2019;6.46
01.12.2019;6.15
01.01.2020;6.04
01.02.2020;5.94
01.03.2020;5.79
01.04.2020;5.99
01.05.2020;5.47
01.06.2020;4.99
01.07.2020;4.23
01.08.2020;4.16
01.09.2020;4.17
01.10.2020;4.17
01.11.2020;4.06
01.12.2020;4.17
01.01.2021;4.31
01.02.2021;4.06
01.03.2021;4.22
01.04.2021;4.51
01.05.2021;4.79
01.06.2021;5.1
01.07.2021;5.76
01.08.2021;6.3
01.09.2021;6.57
01.10.2021;6.81
01.11.2021;7.33
01.12.2021;7.62
01.01.2022;8.29
01.02.2022;9.57
01.03.2022;19.87
01.04.2022;17.08
01.05.2022;13.25
01.06.2022;9.63
01.07.2022;8.9
01.08.2022;7.94
01.09.2022;7.68
01.10.2022;7.67
01.11.2022;7.31
01.12.2022;7.31
01.01.2023;7
01.02.2023;7.11
01.03.2023;7.35
01.04.2023;7.16
01.05.2023;7.25
01.06.2023;7.33
01.07.2023;7.83
01.08.2023;10.33
01.09.2023;12.28
01.10.2023;13.08
01.11.2023;14.79
01.12.2023;15.18
