Date;x45;x7;x54;x3;x63;x30;x80;x44;x59;x51;x24;x57;x11111;x1;x2;x4;x5;x6;x8;x9;x10;x11;x12;x14;x15;x16;x17;x18;x19;x20;x21;x22;x23;x25;x26;x27;x28;x29;x31;x32;x33;x34;x35;x36;x37;x38;x39;x40;x41;x42;x43;x46;x47;x48;x49;x50;x52;x53;x55;x56;x58;x60;x61;x62;x64;x65;x66;x67;x68;x69;x70;x71;x72;x73;x74;x75;x76;x77;x78;x79;x81;x82;x83;x84;x85;x86;x87
01.01.2010;10.11;9098.48;0.06;3787.03;1.15;6.07;2.44;8.53;1.15;4.34;29.09;1.19;0.09;5792.14;4352.66;7806.38;14440.96;18307.04;3166.23;3354.05;394.26;68.99;60.67;6.07;2387.15;3.34;4263599.96;222755.07;247.46;2626480.65;37.9;1399.08;149450.44;42.02;42.52;48.19;5.31;5.59;7.22;7.76;8.26;1.77;1.98;2.36;3.27;3.74;4.24;32.88;19.97;13.86;14.27;3.8;4.89;7.59;8.22;0.42;4.12;11.45;2.56;2.56;1.44;1.53;0.97;1.76;1.44;1.31;1.31;2.43;1.18;1.27;1;2.25;0.35;1.53;0.86;4.57;390.57;2.26;1.26;81.54;2.37;1.85;3.58;3.84;2.54;1;0.11
01.02.2010;11.1;9119.31;0.09;3881.48;1.25;5.97;2.45;7.51;1.18;3.95;29.56;1.2;0.08;5868.93;4452.88;7999.25;14846.43;18733.88;3202.58;3363.5;389.33;69.29;60.55;5.77;2355.98;3.36;3945978.65;201092.6;234.95;2630124.38;38.14;1321.97;141559.43;41.06;43.45;47.24;5.14;5.44;7.12;7.63;8.03;1.65;1.92;2.37;3.4;3.82;4.17;30.61;18.97;12.62;13.56;3.71;4.83;7.24;7.35;0.23;3.99;9.26;2.36;2.36;1.45;1.61;0.97;1.81;1.47;1.32;1.31;2.61;1.19;1.32;1.02;2.26;0.39;1.59;0.84;4.62;391.52;2.24;1.26;77.96;2.38;1.86;3.58;3.91;2.56;1;0.13
01.03.2010;9.12;9166.32;0.13;3980.08;1.29;5.53;2.46;7.42;1.2;5.92;29.46;1.21;0.09;6069.09;4553.52;8246.93;15249.15;19040.99;3226.85;3364.29;381.84;69.32;60.81;5.91;2303.72;3.37;3759114.93;192841.78;225.75;2626493.55;37.92;1400.35;149438.71;40.04;43.54;45.38;4.79;5.07;6.63;7.11;7.37;1.37;1.61;2.03;3.06;3.52;3.94;30.03;18.57;11.56;12.65;3.34;4.63;6.96;6.89;0.44;3.66;8.72;2.39;2.39;1.46;1.61;1.11;1.73;1.45;1.38;1.35;2.7;1.17;1.36;1;2.46;0.41;1.63;0.83;4.48;394.58;2.27;1.27;78.56;2.4;1.87;3.58;3.88;2.59;1;0.16
01.04.2010;8.95;9257.72;0.17;4068.54;1.26;5.3;2.47;8.81;1.21;4.51;29.45;1.21;0.08;6445.45;4643.83;8394.29;15646.37;19358.65;3252.09;3355.05;381.61;69.45;60.88;5.79;2248.23;3.36;3290052.29;175513.98;212.44;2635516.69;37.95;1379.65;148062.13;39.22;43.21;45.61;4.41;4.73;6.6;7.04;7.4;0.88;1.2;1.74;3.03;3.57;4.05;26.43;18.38;11.6;12.75;3.24;4.58;6.61;6.62;0.72;3.37;7.62;2.51;2.51;1.45;1.55;1;1.85;1.44;1.33;1.36;2.7;1.23;1.38;1.08;2.39;0.45;1.63;0.82;4.84;398.55;2.28;1.26;80.49;2.4;1.87;3.59;3.95;2.63;1;0.2
01.05.2010;9.11;9414.01;0.15;4174.81;1.18;5.19;2.48;8.06;1.22;5;30.68;1.21;0.08;6864.19;4761.57;8598.77;16105.43;19839.45;3273.59;3435.55;388.03;69.93;61;5.71;2189.53;3.37;3252035.24;169610.69;203.19;2638342.34;37.87;1339.12;133898.04;38.98;45.04;45.51;3.99;4.45;6.84;7.35;7.67;0.9;1.44;2.31;4.04;4.58;4.97;26.55;18.4;11.51;12.06;3.45;4.93;6.36;6.18;0.54;2.74;8.39;2.09;2.09;1.45;1.63;0.98;1.87;1.43;1.33;1.35;2.84;1.25;1.36;1.09;2.46;0.42;1.65;0.82;4.79;394.02;2.29;1.26;73.14;2.42;1.88;3.6;4.09;2.69;1;0.2
01.06.2010;8.27;9566.8;0.12;4252.38;1.25;4.9;2.5;7.15;1.22;4.9;31.34;1.21;0.08;6837.52;4848.15;8800.14;16465.27;20198.31;3315.4;3553.36;392.9;70.61;61.13;5.47;2124.11;3.4;3103210.16;153179.43;197.18;2663227.65;37.99;1353.55;130104.86;38.7;45.6;45.93;3.66;4.18;6.55;7.2;7.76;0.88;1.38;2.2;4.01;4.69;5.25;26.66;18.21;11.32;11.64;3.25;4.73;5.93;5.91;0.46;2.48;7.14;1.78;1.78;1.45;1.64;0.96;1.84;1.48;1.32;1.36;2.9;1.26;1.37;1.1;2.55;0.47;1.64;0.81;5.04;388.78;2.31;1.26;71.54;2.44;1.88;3.6;3.76;2.68;1;0.18
01.07.2010;8.09;9628.35;0.14;4339.74;1.18;4.78;2.51;6.74;1.22;5.96;31.07;1.22;0.08;6978.28;4922.04;8866.9;16682.88;20440.61;3352.92;3534.78;376.29;70.19;60.98;5.46;2056.56;3.41;3312299.03;170372.23;186.23;2659730.98;37.99;1415.76;145569.29;39.44;45.83;46.69;3.54;4.02;6.52;7.09;7.55;0.57;1.08;1.95;3.83;4.45;4.8;26.91;18.04;10.62;11.56;3.24;4.31;5.84;5.83;0.46;2.65;6.8;1.64;1.64;1.45;1.6;0.97;1.87;1.5;1.31;1.33;2.91;1.24;1.39;1.06;2.53;0.47;1.67;0.81;4.83;393.84;2.32;1.26;71.05;2.45;1.89;3.6;3.74;2.69;1;0.18
01.08.2010;7.52;9730.85;0.14;4428.72;1.19;4.75;2.53;7.83;1.24;5.18;30.62;1.22;0.08;7088.97;5018.38;9082.61;17123.36;20877.59;3391.71;3537.07;370.65;70.23;61.04;5.4;1994.77;3.42;3363621.68;165150.61;175.63;2664392.18;38.06;1434.67;148799.64;39.24;45.16;46.81;3.49;3.95;6.39;7.01;7.55;0.77;1.24;2.04;3.84;4.51;4.92;26.78;18.04;10.16;11.67;3.34;4.7;5.61;5.45;0.36;2.7;7.08;1.43;1.43;1.43;1.65;0.98;1.87;1.43;1.36;1.38;3.01;1.27;1.38;1.12;2.54;0.44;1.64;0.81;5.02;396.45;2.31;1.26;72.36;2.51;1.9;3.6;4.07;2.7;1;0.19
01.09.2010;6.53;9820.64;0.16;4489.87;1.23;4.67;2.56;6.99;1.25;5.21;30.94;1.23;0.07;7273.04;5087.55;9296.95;17613.24;21160.73;3445.35;3710.88;371.75;70.44;61.03;5.22;1933.93;3.39;3181454.33;156939.13;165.85;2669960.67;37.98;1465.25;150687.5;39.69;45.78;47.21;3.46;3.91;6.39;7.06;7.73;0.85;1.31;2.09;3.92;4.67;5.24;26.31;18.08;9.83;11.29;3.34;4.7;5.28;5;0.43;2.75;7.12;1.5;1.5;1.45;1.63;0.97;1.85;1.5;1.36;1.4;3.12;1.29;1.42;1.18;2.54;0.48;1.68;0.81;4.98;398.09;2.29;1.27;78.93;2.57;1.91;3.61;3.91;2.72;1;0.19
01.10.2010;8.82;9902.45;0.16;4566.69;1.26;4.67;2.58;5.85;1.29;4.47;30.85;1.26;0.07;7238.42;5175.3;9515.97;17934.89;21555.2;3507.38;3682.02;367.15;70.39;61.08;5.18;1860.81;3.4;2836017.55;132040.18;157.4;2677482.33;38.1;1538.22;161327.46;42.33;46.06;47.84;3.49;3.91;6.41;7.19;7.66;0.81;1.22;1.93;3.66;4.44;4.96;25.86;18.22;9.05;11.25;3.16;4.63;4.94;4.95;0.5;2.56;6.65;1.25;1.25;1.46;1.65;0.99;1.92;1.48;1.37;1.37;3.25;1.38;1.42;1.21;2.65;0.5;1.73;0.82;4.86;406.56;2.31;1.28;85.66;2.58;1.92;3.63;4.24;2.8;1;0.19
01.11.2010;7.7;10079.98;0.18;4661.29;1.26;4.81;2.6;5.68;1.28;4.09;31.02;1.25;0.07;7245.78;5289.38;9798.84;18353.12;22029.9;3576.07;3659.34;359.89;70.46;60.93;4.9;1813.04;3.4;3040317.74;140862.27;150.58;2676531.02;38.08;1570.1;167765.14;42.06;46.52;49.34;3.64;4.07;6.48;7.3;7.82;0.83;1.24;1.92;3.55;4.25;4.73;26.17;17.79;9.01;11.01;3.02;4.6;4.88;4.71;0.52;2.76;6.24;1.56;1.56;1.46;1.63;0.98;2;1.44;1.35;1.39;3.27;1.36;1.46;1.19;2.64;0.52;1.77;0.78;4.92;406.9;2.33;1.28;88.87;2.61;1.93;3.64;4.78;2.87;1;0.19
01.12.2010;7.92;10291.71;0.16;4716.24;1.31;4.95;2.62;6.22;1.29;4.2;30.15;1.26;0.07;7185.18;5390.05;10013.37;18672.21;22490.65;3655.52;3592.85;350.24;69.97;60.79;5.24;1784.54;3.45;3018896.83;146657.41;145.46;2664881.29;38.05;1647.82;180779.69;40.18;45.34;47.51;3.75;4.19;6.73;7.43;7.92;1.28;1.69;2.37;3.93;4.55;5.04;25.19;17.06;8.73;10.36;2.94;4.5;4.64;4.62;0.34;2.83;6.34;1.98;1.98;1.46;1.62;1.02;2.08;1.48;1.42;1.44;3.37;1.33;1.46;1.21;2.76;0.47;1.9;0.84;5.03;394.65;2.33;1.28;96.33;2.65;1.94;3.66;4.77;2.93;1;0.18
01.01.2011;6.35;10469.07;0.16;4773.75;1.32;5.06;2.67;5.77;1.32;4.3;29.35;1.26;0.07;7325.76;5467.7;10168.39;18929.41;22781.58;3759.3;3597.33;340.55;70.33;61.24;5.2;1751.78;3.39;2873647.81;126832.05;141.77;2671975.95;37.78;1677.4;184818.08;39.76;44.45;47.12;3.67;4.19;6.97;7.6;7.89;1.21;1.71;2.53;4.26;4.83;5.15;26.54;17.17;8.56;10.81;2.84;4.48;4.26;5.36;0.38;2.45;5.77;2.01;2.01;1.47;1.62;1.02;2.01;1.53;1.37;1.48;3.56;1.33;1.48;1.25;2.63;0.51;1.72;0.83;4.89;407.4;2.35;1.29;99.93;2.7;1.96;3.69;5.04;2.97;1;0.17
01.02.2011;7.07;10740.59;0.11;4847.4;1.3;5.03;2.68;5.9;1.3;4.53;28.86;1.27;0.07;7547.76;5584.12;10312.66;19185.24;22979.06;3848.17;3518.26;329.2;70.66;61.35;5.18;1722.05;3.39;2902124.27;129135.78;138.87;2680319.57;38.02;1753.03;195289.77;39.75;44;47.28;3.59;4.13;6.92;7.61;8.02;0.91;1.45;2.33;4.17;4.78;5.16;24.76;17.28;8.67;9.75;2.94;4.37;4.32;5.42;0.32;2.57;7.15;2.23;2.23;1.47;1.64;1.01;1.99;1.56;1.37;1.5;3.27;1.32;1.48;1.11;2.68;0.5;1.78;0.83;5.01;411.29;2.37;1.28;105.96;2.72;1.96;3.72;5.25;3.01;1;0.16
01.03.2011;8.07;10972.93;0.08;4929.41;1.34;4.92;2.7;6.05;1.28;4.7;28.3;1.26;0.07;7536.87;5685.04;10515.15;19490.43;23393.12;3943.85;3542.71;327.35;70.58;61.29;4.92;1707.21;3.42;2594392.25;124798.86;136.28;2684312.69;37.96;1752.45;192430.14;39.42;43.58;46.91;3.55;4.03;6.95;7.66;7.94;0.57;1.09;1.94;3.82;4.53;5.02;23.64;17.37;8.54;10.46;2.95;4.35;4.23;5.44;0.26;2.83;6.75;2.01;2.01;1.48;1.64;1.05;2.03;1.55;1.36;1.46;3.29;1.32;1.48;1.07;2.78;0.51;1.72;0.83;5.05;400.27;2.38;1.29;113.16;2.73;1.97;3.75;5.18;3.02;1;0.14
01.04.2011;7.3;11163.99;0.06;5002.69;1.38;4.84;2.71;4.08;1.32;4.04;28.41;1.28;0.07;7577.11;5778.41;10532.17;19756.19;23618.99;4049.98;3505.06;321.01;70.29;61.25;5.05;1686.9;3.41;2799628.26;128222.38;130.83;2673093.42;37.99;1691.25;192051.41;40.97;43.58;46.74;3.47;4.04;6.85;7.67;8.16;0.02;0.5;1.34;3.36;4.24;4.88;23.36;17.25;8.46;10.33;2.51;4.31;4.11;5.49;0.3;2.79;6.96;2.07;2.07;1.48;1.66;1;1.99;1.51;1.44;1.47;3.31;1.32;1.46;1.2;2.77;0.5;1.85;0.82;5.06;410.88;2.41;1.3;119.15;2.74;1.98;3.77;5.33;3.03;1.15;0.1
01.05.2011;7.25;11386.62;0.04;5058.72;1.37;4.9;2.72;4.5;1.34;3.65;28.22;1.29;0.07;7355.88;5846;10599.53;20011.63;23823.92;4163.24;3632.94;318.74;70.84;61.38;4.93;1654.94;3.45;2658862.05;118828.99;128.64;2691177.34;38.1;1690.97;191248.63;40.78;43.54;46.4;3.74;4.17;6.84;7.65;8.15;-0.23;0.24;1.07;3.05;3.89;4.48;22.63;17.06;8.1;10.37;2.75;4.63;4.24;5.52;0.22;3.17;7.03;1.78;1.78;1.48;1.66;0.98;1.97;1.52;1.44;1.47;3.35;1.33;1.47;1.24;2.91;0.52;1.76;0.82;5.06;416.48;2.42;1.31;112.72;2.74;2;3.79;5.51;3.07;1.25;0.09
01.06.2011;7.15;11552.03;0.04;5099.5;1.39;5.04;2.73;5.26;1.35;4.66;28.18;1.29;0.07;7313.78;5926.37;10640.32;20185.04;24111.03;4275.2;3667.54;310.08;70.91;61.3;4.82;1621.57;3.46;2481478.35;108893.43;122.67;2697983.24;38.18;1728.74;187744.57;40.79;43.12;45.49;4.01;4.4;6.67;7.53;8.32;0.18;0.56;1.22;3.02;3.92;4.65;22.57;17.23;8.56;10.44;2.81;4.69;4.26;6.02;0.31;3.29;7.24;1.45;1.45;1.48;1.65;1;1.91;1.52;1.44;1.48;3.19;1.34;1.49;1.44;2.87;0.52;1.8;0.82;5.25;418.4;2.44;1.3;111.75;2.74;2.01;3.82;5.27;3.05;1.25;0.09
